path,title,artist,album,year,duration_ms,spotify_track_id,spotify_url,match_score,match_title,match_artist
4 Strings - Lights Out (Original Mix).mp3,Lights Out,4 Strings,,,313887,1YfV5hauGiF9ZM6MW6DQDG,https://open.spotify.com/track/1YfV5hauGiF9ZM6MW6DQDG,1,Lights Out,4 Strings
5 Seconds Of Summer - Youngblood (Alt Version).mp3,Youngblood (Alt Version),5 Seconds Of Summer,,,205662,6NnrABRPQdGmWRssVFYTAA,https://open.spotify.com/track/6NnrABRPQdGmWRssVFYTAA,0.7,Youngblood - Live,5 Seconds of Summer
Afrojack - Rock The House (Official Music Video).mp3,Rock The House,Afrojack,,,305554,3J57KX2pdbNW4SWoV1QYwR,https://open.spotify.com/track/3J57KX2pdbNW4SWoV1QYwR,0.9,Rock The House,AFROJACK
Algorhythm - I Don't Know How (feat Vangosh - Beto Dias & Felipe Wrechiski remix) - Copy (1).mp3,I Don't Know How (feat Vangosh - Beto Dias & Felipe Wrechiski remix) - Copy (1),Algorhythm,,,398289,0kocV39gxuEDkuXkYbAwgp,https://open.spotify.com/track/04uug95UbkxW39rFd93Pta,0.999,I Don't Know,"DJ ELO, ZYZZCVNT"
"Arty, Matisse & Sadko - Riot (Official Music Video).mp3",Riot,"Arty, Matisse & Sadko",,,228415,6otlrS4lxyMHvJogt2bn4q,https://open.spotify.com/track/6otlrS4lxyMHvJogt2bn4q,0.6,RIOT,"ARTY, Matisse & Sadko"
Audien - Elysium (OUT NOW).mp3,Elysium,Audien,,,97437,2cYd1WlfIjQ4r4ZdNRWhZS,https://open.spotify.com/track/2cYd1WlfIjQ4r4ZdNRWhZS,0.9,Elysium,Audien
Audio Bullys - I'm In Love.mp3,I'm In Love,Audio Bullys,,,187507,07Kk2yC0HYQ1Fn7hYEq9in,https://open.spotify.com/track/07Kk2yC0HYQ1Fn7hYEq9in,0.9,I'm In Love,Audio Bullys
Basto & Yves V - CloudBreaker (Radio Mix).mp3,CloudBreaker (Radio Mix),Basto & Yves V,,,201012,1UZfthwGFQvhyOLVO1ubE1,https://open.spotify.com/track/33w8uhoFjr7Y9FkzHDf94f,0.791,Coco Chanel,"Jiyo, Rap La Rue"
Basto - BONNY (Original Mix).mp3,BONNY,Basto,,,403984,6Ydb4Owr9KxgszKBOpiGoQ,https://open.spotify.com/track/6Ydb4Owr9KxgszKBOpiGoQ,1,Bonny,Basto
Basto - Gregory's Theme (Original Mix).mp3,Gregory's Theme,Basto,,,428016,3FGD77E7LQ8r05GVZ69AVq,https://open.spotify.com/track/3FGD77E7LQ8r05GVZ69AVq,0.7,Gregory's Theme - Radio Edit,Basto
Basto - I Rave You (Original Mix).mp3,I Rave You,Basto,,,325172,6AdO3lwtelkxgR5APR7JfJ,https://open.spotify.com/track/6AdO3lwtelkxgR5APR7JfJ,1,I Rave You,Basto
Ben Pearce - What I Might Do (Official Video).mp3,What I Might Do,Ben Pearce,,,188709,4Rnfx020sYy3YoxvA3oMS2,https://open.spotify.com/track/4Rnfx020sYy3YoxvA3oMS2,0.95,What I Might Do,Ben Pearce
Benny Benassi - No matter what you do.mp3,No matter what you do,Benny Benassi,,,206002,7K0o4DqoSCwHAJFs9ystBp,https://open.spotify.com/track/7K0o4DqoSCwHAJFs9ystBp,0.8,No Matter What You Do,"Benny Benassi, The Biz"
Benny Benassi ft. Gary Go - Control [Official Video HD].mp3,Control,Benny Benassi ft. Gary Go,,,227187,6gtdZzRo2vUTOJBxAoUdqw,https://open.spotify.com/track/1b2wViwhvtmJU6B8wCGsLi,0.692,Laying Low,Chillinit
Blasterjaxx - Fifteen (Hardwell Edit) - [OUT NOW!].mp3,Fifteen (Hardwell Edit),Blasterjaxx,,,311719,1h96lhczwxFZKLSdpRUQkg,https://open.spotify.com/track/1h96lhczwxFZKLSdpRUQkg,0.65,Fifteen - Hardwell Edit,"Blasterjaxx, Hardwell"
Calvin Harris - Bounce ft. Kelis.mp3,Bounce ft. Kelis,Calvin Harris,,,230766,7qCsypEBairW1WF0pgu92o,https://open.spotify.com/track/5h9tqwOWEdpOduemnAORDg,0.714,Bounce (made popular by Calvin Harris ft. Kelis) [vocal version],Party Tyme
Calvin Harris feat. Example - We'll Be Coming Back (Lyrics).mp3,We'll Be Coming Back,Calvin Harris feat. Example,,,232020,7B1Dl3tXqySkB8OPEwVvSu,https://open.spotify.com/track/7B1Dl3tXqySkB8OPEwVvSu,0.7,We'll Be Coming Back (feat. Example),"Calvin Harris, Example"
"Calvin Harris, Sam Smith - Promises (Official Lyric Video).mp3",Promises,"Calvin Harris, Sam Smith",,,213943,5N5k9nd479b1xpDZ4usjrg,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,0.7,Promises (with Sam Smith),"Calvin Harris, Sam Smith, Jessie Reyez"
Cedric Gervais & Borgore - Deception (Original Mix).mp3,Deception,Cedric Gervais & Borgore,,,345469,74nIm9QrKDel3mLozTXk3Q,https://open.spotify.com/track/74nIm9QrKDel3mLozTXk3Q,0.7,Deception,"Cedric Gervais, Borgore"
Cedric Gervais & CID - Never Come Close (OUT NOW).mp3,Never Come Close,Cedric Gervais & CID,,,130821,4U7vudDb1YIAX4vSZpeHMQ,https://open.spotify.com/track/4U7vudDb1YIAX4vSZpeHMQ,0.6,Never Come Close,"Cedric Gervais, CID"
Cedric Gervais - Molly (Original Mix).mp3,Molly,Cedric Gervais,,,412996,0hdiDzQu1FsfaYM1NIL8ma,https://open.spotify.com/track/0hdiDzQu1FsfaYM1NIL8ma,0.8,Molly,"Tyga, Cedric Gervais, Wiz Khalifa, Mally Mall"
Cedric Gervais - The Look (Original Mix).mp3,The Look,Cedric Gervais,,,282358,4ExaqtYL5rVeg3NCMucqHy,https://open.spotify.com/track/4ExaqtYL5rVeg3NCMucqHy,1,The Look,Cedric Gervais
Chuckie - Who Is Ready To Jump (Dada Life Remix).mp3,Who Is Ready To Jump (Dada Life Remix),Chuckie,,,313313,34wEODnh0QDcpcONOtHl0B,https://open.spotify.com/track/34wEODnh0QDcpcONOtHl0B,0.8,Who Is Ready To Jump - Dada Life Remix,Chuckie
CLMD - Black Eyes and Blue (official video).mp3,Black Eyes and Blue,CLMD,,,218279,2u0vwXHnI0cl2hs9UwmHYO,https://open.spotify.com/track/2u0vwXHnI0cl2hs9UwmHYO,0.9,Black Eyes and Blue,CLMD
CLMD - Falling Like Angels.mp3,Falling Like Angels,CLMD,,,211461,5B9K4fd9T7A17P8oFb9GWS,https://open.spotify.com/track/5B9K4fd9T7A17P8oFb9GWS,0.9,Falling Like Angels,CLMD
Daft Punk - Get Lucky (Audio Jacker Remix).mp3,Get Lucky,Daft Punk,,,453329,69kOkLUCkxIZYexIgSG8rq,https://open.spotify.com/track/69kOkLUCkxIZYexIgSG8rq,0.8,Get Lucky (feat. Pharrell Williams and Nile Rodgers),"Daft Punk, Pharrell Williams, Nile Rodgers"
Deadmau5 - Brazil (2nd Edit) (1080p)  HD.mp3,Brazil (2nd Edit) (1080p) HD,Deadmau5,,,398968,5CX19RynzN2Izq6JQj862Z,https://open.spotify.com/track/5CX19RynzN2Izq6JQj862Z,0.917,Brazil - 2nd Edit,deadmau5
Deorro - Yee [OUT NOW!].mp3,Yee,Deorro,,,217940,4NfK4exuaNuABn75exD5Gq,https://open.spotify.com/track/4NfK4exuaNuABn75exD5Gq,0.9,Yee,Deorro
Dimitri Vegas & Like Mike vs Sander van Doorn - Project T (Martin Garrix Remix).mp3,Project T (Martin Garrix Remix),Dimitri Vegas & Like Mike vs Sander van Doorn,,,310570,6CA3LmoOFveuZpASuQlEJh,https://open.spotify.com/track/4UPryYl7gK33A4apqKaG0Y,0.977,Feite Damer (The Broject),"Øsen, Da Dønk Project"
"Dimitri Vegas, Like Mike & GTA Ft. Wolfpack - Turn It Up (Original Mix).mp3",Turn It Up,"Dimitri Vegas, Like Mike & GTA Ft. Wolfpack",,,347402,4BXfVrNwwWGR33gruLKU48,https://open.spotify.com/track/73JUdKaJLUpHEiWiawixCz,0.701,Rockstars - Original,"Kodie, Mike Emilio"
"Dimitri Vegas, MOGUAI & Like Mike - Mammoth (Original Mix).mp3",Mammoth,"Dimitri Vegas, MOGUAI & Like Mike",,,332251,0KNYrJlQoXIUMatEyuwFlU,https://open.spotify.com/track/0KNYrJlQoXIUMatEyuwFlU,0.7,Mammoth,"Dimitri Vegas, MOGUAI, Like Mike"
Disclosure - White Noise ft. AlunaGeorge (Official Video) - Copy (1).mp3,White Noise ft. AlunaGeorge - Copy (1),Disclosure,,,282253,4US7CwkiBfnz3aU3jbgdT9,https://open.spotify.com/track/4US7CwkiBfnz3aU3jbgdT9,0.65,White Noise,"Disclosure, AlunaGeorge"
Disclosure - White Noise ft. AlunaGeorge (Official Video).mp3,White Noise ft. AlunaGeorge,Disclosure,,,282253,4pQyRWJxasoDny2RxiRkda,https://open.spotify.com/track/4pQyRWJxasoDny2RxiRkda,0.6,White Noise,"Disclosure, AlunaGeorge"
Discopolis - Committed to Sparkle Motion (DubVision Remix).mp3,Committed to Sparkle Motion (DubVision Remix),Discopolis,,,364460,4F6P9kNwtx25mqH1NJqfYY,https://open.spotify.com/track/4F6P9kNwtx25mqH1NJqfYY,0.6,Committed to Sparkle Motion - DubVision Remix,"Discopolis, DubVision"
Dj Chuckie - Who is ready to jump (Original Mix).mp3,Who is ready to jump,Dj Chuckie,,,225123,15e36HTrKSAIPbBU3tYgEC,https://open.spotify.com/track/15e36HTrKSAIPbBU3tYgEC,0.7,Who Is Ready To Jump - Club Mix,Chuckie
DJ Dan & Charles Feelgood - Funky Mood.mp3,Funky Mood,DJ Dan & Charles Feelgood,,,365897,0L9DlyVevVLSnq57PLKNCJ,https://open.spotify.com/track/0L9DlyVevVLSnq57PLKNCJ,0.7,Funky Mood,"Charles Feelgood, DJ Dan"
DJ Dan - Out of Nowhere - Guesthouse Music.mp3,Out of Nowhere - Guesthouse Music,DJ Dan,,,356310,2PivL4Oy1PoUsArjrhbSnm,https://open.spotify.com/track/2PivL4Oy1PoUsArjrhbSnm,0.8,Out of Nowhere,DJ Dan
Don Diablo - Origins (Official Music Video).mp3,Origins,Don Diablo,,,223086,4MMPxiwMPBHE7c25yTalai,https://open.spotify.com/track/4MMPxiwMPBHE7c25yTalai,0.9,Origins,Don Diablo
Dr. Kucho! & Gregor Salto - Can't Stop Playing (Oliver Heldens & Gregor Salto Remix) [OUT NOW].mp3,Can't Stop Playing (Oliver Heldens & Gregor Salto Remix),Dr. Kucho! & Gregor Salto,,,180532,4vTvus8VUlimhegjaHwPyA,https://open.spotify.com/track/4vTvus8VUlimhegjaHwPyA,0.6,Can't Stop Playing (feat. Ane Brun) [Cian McFeely Remix],"DR. KUCHO!, Gregor Salto, Cian McFeely, Ane Brun"
Droplex - Killa Kokain (Original mix).mp3,Killa Kokain,Droplex,,,185887,3J7Mro7WAYxqqCXkUzPqtO,https://open.spotify.com/track/3J7Mro7WAYxqqCXkUzPqtO,0.9,Killa Kokain,Droplex
DVBBS & Borgeous - TSUNAMI (Music Video).mp3,TSUNAMI,DVBBS & Borgeous,,,146860,2n3zCFoj5VM9UYGDeiUlPs,https://open.spotify.com/track/2n3zCFoj5VM9UYGDeiUlPs,0.6,Tsunami,R3HAB
"Erick Morillo, Harry Romero & Jose Nunez feat. Shawnee Taylor - My Melody (Club Mix).mp3",My Melody (Club Mix),"Erick Morillo, Harry Romero & Jose Nunez feat. Shawnee Taylor",,,335047,4T26FqS5sxZunEzPA5QdFk,https://open.spotify.com/track/4T26FqS5sxZunEzPA5QdFk,0.806,My Melody - Club Mix,"Erick Morillo, Jose Nunez, Harry Romero, Shawnee Taylor"
Example - Show Me How to Love (feat. Hayla) [Lyric Video].mp3,Show Me How to Love (feat. Hayla),Example,,,216111,5O6lpX4yONTZVSeQC5bncX,https://open.spotify.com/track/5O6lpX4yONTZVSeQC5bncX,0.9,Show Me How to Love (feat. Hayla),"Example, HAYLA"
Fash & Nick Hussey - Shine (Dirty Freek Cino Edit).mp3,Shine (Dirty Freek Cino Edit),Fash & Nick Hussey,,,371017,7GWZC8XrmvdeFAHDyRY1TN,https://open.spotify.com/track/7GWZC8XrmvdeFAHDyRY1TN,0.6,Shine,Atle Pettersen
Fedde le Grand - Metrum (Official release).mp3,Metrum,Fedde le Grand,,,338103,0GEQCUbNLrpLwMC1q1KRDh,https://open.spotify.com/track/0GEQCUbNLrpLwMC1q1KRDh,0.8,Metrum - Original Club Mix,Fedde Le Grand
Fedde Le Grand - So Much Love (Official Music Video).mp3,So Much Love,Fedde Le Grand,,,242181,5cJvhn5VKVDfUZNqO2jOT4,https://open.spotify.com/track/5cJvhn5VKVDfUZNqO2jOT4,0.7,So Much Love - Radio Edit,Fedde Le Grand
Firebeatz & Schella - Wicked (Original Mix).mp3,Wicked,Firebeatz & Schella,,,316134,0W9w672xCxil4UohSbrtMy,https://open.spotify.com/track/0W9w672xCxil4UohSbrtMy,0.7,Wicked,"Firebeatz, Schella"
Funk Agenda - What The Fuck.mp3,What The Fuck,Funk Agenda,,,396460,3R3xZdFKzn7yTjAiFcOLiK,https://open.spotify.com/track/3R3xZdFKzn7yTjAiFcOLiK,0.883,What The Fuck - Original Club Mix,Funkagenda
Futuristic Polar Bears - Back To Earth [OUT NOW!].mp3,Back To Earth,Futuristic Polar Bears,,,330449,0F3bp1LEBpPXWs8kbBlynk,https://open.spotify.com/track/0F3bp1LEBpPXWs8kbBlynk,0.9,Back To Earth,Futuristic Polar Bears
Gorgon City - Ready For Your Love ft. MNEK.mp3,Ready For Your Love ft. MNEK,Gorgon City,,,207151,1y7agAufBsudgRXuq6Ekqb,https://open.spotify.com/track/3Kr7UHOUkgaH4PK3Mp1fUP,0.756,Ready For Your Love,"Felix Jaehn, Sophie Ellis-Bextor"
"Jason Risk - 1, 2, 3, Yeah (Chris Bullen Remix) [Hype Recordings].mp3","1, 2, 3, Yeah (Chris Bullen Remix) [Hype Recordings]",Jason Risk,,,260049,1Z6tKNCPFEG84zPzTAJuPt,https://open.spotify.com/track/4VqdAm65fW0okSfBKnXG0u,0.678,Bullrun,"STARBOYS, HENK, Lille Saus, NIL$$EN, D70"
Kelis - 4th Of July (Fireworks).mp3,4th Of July (Fireworks),Kelis,,,225776,5CvuiEJ8sHm5mVUCK83lCk,https://open.spotify.com/track/5CvuiEJ8sHm5mVUCK83lCk,0.9,4th Of July (Fireworks),Kelis
Kelis - Acapella.mp3,Acapella,Kelis,,,243801,3B3A4mqiRhspnA3VCyfEbb,https://open.spotify.com/track/3B3A4mqiRhspnA3VCyfEbb,0.95,Acapella,Kelis
Kelis - Brave.mp3,Brave,Kelis,,,219925,3qxVga3DB8cThXKKp1Xbfo,https://open.spotify.com/track/3qxVga3DB8cThXKKp1Xbfo,0.9,Brave,Kelis
Kelis - Scream.mp3,Scream,Kelis,,,217992,7kppK30KijG6VGb7VasWsa,https://open.spotify.com/track/7kppK30KijG6VGb7VasWsa,0.9,Scream,Kelis
Klangkarussell - Sonnentanz.mp3,Sonnentanz,Klangkarussell,,,362397,4YRvb9B8cgvhst11qk8CKn,https://open.spotify.com/track/4YRvb9B8cgvhst11qk8CKn,1,Sonnentanz,Klangkarussell
Knife Party - 'Power Glove' - OUT NOW.mp3,'Power Glove',Knife Party,,,261251,6qpaTfe6rCl55xEPT4F7Hp,https://open.spotify.com/track/6qpaTfe6rCl55xEPT4F7Hp,0.8,Power Glove,Knife Party
Knife Party - Internet Friends.mp3,Internet Friends,Knife Party,,,185940,5qFL2uwfnGU8FccwLMgPNQ,https://open.spotify.com/track/5qFL2uwfnGU8FccwLMgPNQ,0.9,Internet Friends,Knife Party
Koen Groeneveld - Jetblast (OUT NOW).mp3,Jetblast,Koen Groeneveld,,,171807,2mNQT9sJlojkxmyZPELhVc,https://open.spotify.com/track/2mNQT9sJlojkxmyZPELhVc,0.9,Jetblast,Koen Groeneveld
Lana Del Rey vs Cedric Gervais - Young & Beautiful (Remix) [Official Music Video].mp3,Young & Beautiful,Lana Del Rey vs Cedric Gervais,,,232490,2nMeu6UenVvwUktBCpLMK9,https://open.spotify.com/track/4O1etEzE7zc8ZO80KNd5GZ,0.768,Every Girl Gets Her Wish,Saint Avangeline
Lexy & K-Paul - If I gave you my digits (Lexy rmx).mp3,If I gave you my digits (Lexy rmx),Lexy & K-Paul,,,394397,04PWLu7ROateUZ4a0PdQFT,https://open.spotify.com/track/04PWLu7ROateUZ4a0PdQFT,0.7,If I Gave You My Digits - Lexy Rmx,"Lexy & K-Paul, Data MC"
LMFAO (ft Natalia Kills) - Champagne Showers.mp3,Champagne Showers,LMFAO (ft Natalia Kills),,,270132,2qjC1EExeYdtxxQ9eGnkU1,https://open.spotify.com/track/2qjC1EExeYdtxxQ9eGnkU1,0.6,Champagne Showers (made popular by LMFAO ft. Natalia Kills) [backing version],Party Tyme
"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock.mp3","Party Rock Anthem ft. Lauren Bennett, GoonRock",LMFAO,,,375458,7mitXLIMCflkhZiD34uEQI,https://open.spotify.com/track/7mitXLIMCflkhZiD34uEQI,0.6,Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock"
LMFAO - Sexy and I Know It.mp3,Sexy and I Know It,LMFAO,,,203624,70Vdd1gx5tn84jkAU31ASv,https://open.spotify.com/track/70Vdd1gx5tn84jkAU31ASv,0.95,Sexy And I Know It,LMFAO
LMFAO - Shots ft. Lil Jon.mp3,Shots ft. Lil Jon,LMFAO,,,253127,1V4jC0vJ5525lEF1bFgPX2,https://open.spotify.com/track/1V4jC0vJ5525lEF1bFgPX2,0.6,Shots,"LMFAO, Lil Jon"
Loleatta Holloway - Love Sensation - WhiteNoize Remix - Ultra Records.mp3,Love Sensation - WhiteNoize Remix - Ultra Records,Loleatta Holloway,,,384157,46wyp7ufFj7sYUluEQhsXt,https://open.spotify.com/track/46wyp7ufFj7sYUluEQhsXt,0.8,Love Sensation - WhiteNoize Remix,Loleatta Holloway
Lost Frequencies ft. The NGHBRS - Like I Love You (Official Music Video).mp3,Like I Love You,Lost Frequencies ft. The NGHBRS,,,190171,1o41lANxFtrJFG5FuTmHfQ,https://open.spotify.com/track/1o41lANxFtrJFG5FuTmHfQ,0.7,Like I Love You,"Lost Frequencies, The NGHBRS"
Loui & Scibi Feat. Nuwella - Your Love (Original Mix).mp3,Your Love,Loui & Scibi Feat. Nuwella,,,312633,1yowjNEwPwraBJNXKjBoCb,https://open.spotify.com/track/6PYNi1stqAsJWn8MecB50j,0.990,Show Me Your Love,"SOVI, Anya Pergin"
MAKJ & M35 - Revolution (Original Mix).mp3,Revolution,MAKJ & M35,,,246204,0L21teXilSCk8frpVHwXw1,https://open.spotify.com/track/0L21teXilSCk8frpVHwXw1,0.6,Revolution,"MAKJ, M35"
Marcel Woods & Allure - Ready (OUT NOW!).mp3,Ready,Marcel Woods & Allure,,,371879,5xxtBuUTuKv2ihTj0017nr,https://open.spotify.com/track/5xxtBuUTuKv2ihTj0017nr,1.000,Ready - Original Mix,"Marcel Woods, Allure"
Markus Gardeweg feat. Michael Feiner - Fairplay (Let There Be Love) (D.O.N.S & DBN Remix) - Copy (1).mp3,Fairplay (Let There Be Love) (D.O.N.S & DBN Remix) - Copy (1),Markus Gardeweg feat. Michael Feiner,,,487105,6LUcqxkiCzbOkzLm16h9Wb,https://open.spotify.com/track/15JWzfxVtT2CSobE4H39FL,0.696,Fairplay (Let There Be Love) [feat. Michael Feiner] - D.O.N.S. & DBN Remix,"Markus Gardeweg, Michael Feiner"
Martin Garrix & Jay Hardway - Error 404 (Original Mix).mp3,Error 404,Martin Garrix & Jay Hardway,,,332487,5aV5iYxffs73u7Y3mWSZjj,https://open.spotify.com/track/5aV5iYxffs73u7Y3mWSZjj,0.7,Error 404,"Martin Garrix, Jay Hardway"
Martin Garrix & Jay Hardway - Wizard (Official Music Video) [OUT NOW].mp3,Wizard,Martin Garrix & Jay Hardway,,,217156,2GQfPDsehPE2zx5nr7jr4U,https://open.spotify.com/track/2GQfPDsehPE2zx5nr7jr4U,0.6,Wizard,"Martin Garrix, Jay Hardway"
Martin Solveig - All Stars (Official Video) ft. ALMA.mp3,All Stars ft. ALMA,Martin Solveig,,,176614,26haJjtanhamtf25RXH0MO,https://open.spotify.com/track/6CVx0YQCrtZQ9GNz2TDCnm,0.748,Someday,Martin Solveig
Martin Solveig - The Night Out [Official Video HD].mp3,The Night Out,Martin Solveig,,,215719,7xUL8r3jqftyk8qV6VCe8p,https://open.spotify.com/track/7xUL8r3jqftyk8qV6VCe8p,0.75,The Night Out - Madeon Remix,Martin Solveig
Michael Calfan - Nobody Does It Better (Official Music Video).mp3,Nobody Does It Better,Michael Calfan,,,177476,1BMwsK4pa9KhiFmOp1oCjf,https://open.spotify.com/track/1BMwsK4pa9KhiFmOp1oCjf,0.9,Nobody Does It Better,Michael Calfan
Michael Woods - Clanga (Original Mix).mp3,Clanga,Michael Woods,,,370364,12bM9eRZWaXsjrqD43JjtR,https://open.spotify.com/track/12bM9eRZWaXsjrqD43JjtR,0.8,Clanga - Original Mix,Michael Woods
Mightyfools - Go (Original Mix).mp3,Go,Mightyfools,,,273241,6U8yGCDYQmgvVx0VJD9mRg,https://open.spotify.com/track/6U8yGCDYQmgvVx0VJD9mRg,0.7,Party Goin,Mightyfools
Miguel Campbell - Something Special (Original Mix).mp3,Something Special,Miguel Campbell,,,282802,5ff8yitJ1x7D4tOaIlyklz,https://open.spotify.com/track/5ff8yitJ1x7D4tOaIlyklz,1,Something Special,Miguel Campbell
"Mike Hawkins, Henry Fong & Toby Green - Hot Steppa (OUT NOW).mp3",Hot Steppa,"Mike Hawkins, Henry Fong & Toby Green",,,143987,43Nxpa8SufrarEPIIjahQm,https://open.spotify.com/track/43Nxpa8SufrarEPIIjahQm,0.6,Hot Steppa,"Mike Hawkins, Henry Fong, Toby Green"
N'to - Trauma (Worakls Remix).mp3,Trauma (Worakls Remix),N'to,,,599980,1uXUZfJykefWuwj9VtyxIq,https://open.spotify.com/track/1uXUZfJykefWuwj9VtyxIq,0.829,Trauma - Worakls Remix,"NTO, Worakls"
Nari & Milani Vs Maurizio Gubellini Ft. Nicci - Vago (Original mix).mp3,Vago,Nari & Milani Vs Maurizio Gubellini Ft. Nicci,,,307931,7m1hNLELEr8mG1nghbzkhe,https://open.spotify.com/track/7m1hNLELEr8mG1nghbzkhe,0.65,Vago (feat. Nicci),"Nari & Milani, Maurizio Gubellini, Nicci"
NERVO & Hook N Sling - Reason (Official Music Video).mp3,Reason,NERVO & Hook N Sling,,,241607,5Jhmv9u0eUTZWLcvLntIw9,https://open.spotify.com/track/5Jhmv9u0eUTZWLcvLntIw9,0.6,Reason,"NERVO, Hook N Sling"
NERVO & Marco Lys - Don't Break My Heart (Lyric Video).mp3,Don't Break My Heart,NERVO & Marco Lys,,,222433,67AeInuW3ZRX47Ye5ROct2,https://open.spotify.com/track/67AeInuW3ZRX47Ye5ROct2,0.6,Don't Break My Heart,"NERVO, Marco Lys"
New World Sound & Thomas Newson - Flute (Original Mix).mp3,Flute,New World Sound & Thomas Newson,,,287086,7hgb6oUoiwgeE7EKcCdTQE,https://open.spotify.com/track/6NNaLF30AmpDERUYvSVchE,1.000,Flute - Radio Edit,"New World Sound, Thomas Newson"
Nicky Romero & Mitch Crown - Schizophrenic (Official Music Video) [HD].mp3,Schizophrenic,Nicky Romero & Mitch Crown,,,210887,2Ml2RNLcCoKN7NxW5yfG2B,https://open.spotify.com/track/2Ml2RNLcCoKN7NxW5yfG2B,0.6,Schizophrenic,"Nicky Romero, Mitch Crown"
Nicky Romero - Camorra (Original Mix).mp3,Camorra,Nicky Romero,,,375301,5vpiEwsv5JICVdO5jD42us,https://open.spotify.com/track/5vpiEwsv5JICVdO5jD42us,1,Camorra,Nicky Romero
Nicky Romero - My Friend (Original Mix).mp3,My Friend,Nicky Romero,,,416418,36J0wYcbZgJ4pCQYNZY5Eb,https://open.spotify.com/track/36J0wYcbZgJ4pCQYNZY5Eb,0.95,My Friend,Nicky Romero
Nicky Romero - Toulouse.mp3,Toulouse,Nicky Romero,,,259500,4AtYl1l9JI3x5Sb9SuOBIL,https://open.spotify.com/track/4AtYl1l9JI3x5Sb9SuOBIL,0.9,Toulouse,Nicky Romero
Noir & Haze - Around [Solomun Vox Mix] - NMB037.mp3,Around [Solomun Vox Mix] - NMB037,Noir & Haze,,,419056,7DFqc3ncGCYWBPZl4GQLgh,https://open.spotify.com/track/7DFqc3ncGCYWBPZl4GQLgh,0.950,Around - Solomun Vox Remix,"Noir & Haze, Solomun"
Oliver Heldens - Gecko (OUT NOW).mp3,Gecko,Oliver Heldens,,,193855,483XiZ5o13Cc1zoWV7jGml,https://open.spotify.com/track/483XiZ5o13Cc1zoWV7jGml,0.6,Gecko (Overdrive) - Radio Edit,"Oliver Heldens, Becky Hill"
Ornette - Crazy (Nôze remix) [Official].mp3,Crazy (Noze remix),Ornette,,,359863,5OkuO5pfHG6Gmput8aV4ju,https://open.spotify.com/track/5OkuO5pfHG6Gmput8aV4ju,0.8,Crazy - Nôze Remix - Extended Club Version,Ornette
Oxia - Domino.mp3,Domino,Oxia,,,431151,6VGNzYErt08Rai78mLkIzI,https://open.spotify.com/track/6VGNzYErt08Rai78mLkIzI,0.95,Domino,Oxia
Parra for Cuva ft. Anna Naklab - Wicked Games (Official Music Video).mp3,Wicked Games,Parra for Cuva ft. Anna Naklab,,,198949,6JrAEmBFd61eYIGVOSPnT4,https://open.spotify.com/track/5Kntz1EHe8wJj6ZMwz5LYJ,0.646,Wicked Games (feat. Anna Naklab) - Radio Edit,"Parra for Cuva, Anna Naklab"
Pelari - Cango (Original Mix).mp3,Cango,Pelari,,,364147,6Ll0VjORqMUKkcY30lpaMR,https://open.spotify.com/track/6Ll0VjORqMUKkcY30lpaMR,1,Cango,Pelari
Quintino & Alvaro - World In Our Hands (Original Mix).mp3,World In Our Hands,Quintino & Alvaro,,,375902,2x8b6szIzSWZe8s8KsOjWX,https://open.spotify.com/track/2x8b6szIzSWZe8s8KsOjWX,0.6,World In Our Hands,"Quintino, Alvaro"
Quintino & Kenneth G - Blowfish (OUT NOW).mp3,Blowfish,Quintino & Kenneth G,,,89913,4MC2PcJN9lUKQWj2GkpG8B,https://open.spotify.com/track/4MC2PcJN9lUKQWj2GkpG8B,0.6,Blowfish,"Quintino, Kenneth G"
R3hab & David Solano - Do It (Life In Color Anthem 2013).mp3,Do It (Life In Color Anthem 2013),R3hab & David Solano,,,270080,0Xj1aVcDJyO556sjjl2sge,https://open.spotify.com/track/0Xj1aVcDJyO556sjjl2sge,0.882,Do It - Life In Color Anthem 2013,"R3HAB, SOLANO"
R3hab - Samurai (Go Hard) [Official Video].mp3,Samurai (Go Hard),R3hab,,,233221,1YRpwaPKL22RSEqo2ZvVhz,https://open.spotify.com/track/1YRpwaPKL22RSEqo2ZvVhz,0.9,Samurai (Go Hard),R3HAB
Ray Foxx ft. Rachel K Collier - Boom Boom (Heartbeat).mp3,Boom Boom (Heartbeat),Ray Foxx ft. Rachel K Collier,,,201848,55BUvOC0klLXGinj2VwTjs,https://open.spotify.com/track/55BUvOC0klLXGinj2VwTjs,0.65,Boom Boom (Heartbeat) [made popular by Ray Foxx ft. Rachel K Collier] [backing version],Party Tyme
Rita Ora - Let You Love Me [Official Video].mp3,Let You Love Me,Rita Ora,,,190328,5Fla3zyOCcIRqrDoKLU0DP,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,1,Let You Love Me,Rita Ora
Rune RK - Burning Boombox (Original Mix).mp3,Burning Boombox,Rune RK,,,367229,4IBnenAT9TuhhghUVY9xZm,https://open.spotify.com/track/4IBnenAT9TuhhghUVY9xZm,1,Burning Boombox,Rune RK
